client_id;anciennete_mois;nb_commandes_12m;panier_moyen_eur;jours_depuis_derniere_cmd;programme_fidelite;score_churn_pct;segment_churn;action_crm_recommandee;churn
89;65;6;19.62;297;0;99.6;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
90;71;4;211.39;169;0;2.1;Stable 🟢;Newsletter standard;0
91;9;1;29.34;240;0;99.9;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
92;1;4;40.65;23;1;1.6;Stable 🟢;Newsletter standard;0
93;8;1;96.2;294;0;99.9;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
94;63;1;27.78;172;1;6.0;Stable 🟢;Newsletter standard;0
95;11;6;136.8;323;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
96;81;2;5.81;318;0;98.7;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
97;8;5;125.3;286;1;1.0;Stable 🟢;Newsletter standard;0
98;35;3;73.67;343;0;99.7;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
99;35;7;68.08;193;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
100;33;3;49.05;169;1;0.1;Stable 🟢;Newsletter standard;0
101;5;3;25.95;118;1;0.1;Stable 🟢;Newsletter standard;0
102;41;3;49.9;6;0;1.4;Stable 🟢;Newsletter standard;0
103;28;6;47.83;331;1;1.1;Stable 🟢;Newsletter standard;0
104;7;4;70.12;132;1;0.1;Stable 🟢;Newsletter standard;0
105;73;2;26.46;93;1;0.1;Stable 🟢;Newsletter standard;0
106;72;5;6.46;251;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
107;12;7;12.54;10;0;1.7;Stable 🟢;Newsletter standard;0
108;34;1;96.1;51;1;4.0;Stable 🟢;Newsletter standard;0
109;33;2;1.82;349;1;1.1;Stable 🟢;Newsletter standard;0
110;48;6;155.28;294;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
111;23;4;94.84;129;1;0.1;Stable 🟢;Newsletter standard;0
112;62;2;116.91;249;1;1.0;Stable 🟢;Newsletter standard;0
113;37;2;144.62;102;1;0.1;Stable 🟢;Newsletter standard;0
114;44;3;10.47;337;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
115;35;5;138.28;83;0;10.4;Stable 🟢;Newsletter standard;0
116;65;5;56.2;191;1;1.0;Stable 🟢;Newsletter standard;0
117;47;2;173.39;143;1;0.1;Stable 🟢;Newsletter standard;0
118;78;7;174.14;237;0;99.3;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
119;3;4;1.96;287;1;1.0;Stable 🟢;Newsletter standard;0
120;1;6;38.61;277;1;67.9;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
121;5;1;59.79;291;0;99.4;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
122;14;5;90.75;169;1;0.1;Stable 🟢;Newsletter standard;0
123;27;6;26.97;144;1;0.1;Stable 🟢;Newsletter standard;0
124;9;5;23.24;184;0;98.7;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
125;79;4;38.41;45;0;9.9;Stable 🟢;Newsletter standard;0
126;15;5;55.6;243;0;99.1;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
127;42;2;241.51;315;1;0.9;Stable 🟢;Newsletter standard;0
128;77;3;114.88;268;1;1.0;Stable 🟢;Newsletter standard;0
129;51;4;44.87;253;0;99.3;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
130;63;3;4.47;289;1;1.0;Stable 🟢;Newsletter standard;0
131;52;3;14.76;212;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
132;4;4;48.69;177;1;0.1;Stable 🟢;Newsletter standard;0
133;23;3;134.49;21;0;1.2;Stable 🟢;Newsletter standard;0
134;15;3;38.33;316;1;52.3;Risque moyen 🟠;Email personnalisé + points fidélité;1
135;43;3;61.86;52;1;0.1;Stable 🟢;Newsletter standard;0
136;29;1;177.91;233;1;95.9;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
137;36;1;196.08;123;1;4.6;Stable 🟢;Newsletter standard;0
138;13;9;19.44;362;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
139;32;5;3.57;100;1;0.1;Stable 🟢;Newsletter standard;0
140;71;1;29.15;214;1;96.0;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
141;59;2;95.21;327;1;86.2;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
142;28;2;241.46;135;1;0.1;Stable 🟢;Newsletter standard;0
143;66;5;6.41;318;0;98.7;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
144;42;6;2.31;218;0;99.4;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
145;45;5;172.43;88;1;0.1;Stable 🟢;Newsletter standard;0
146;62;3;110.31;280;1;1.0;Stable 🟢;Newsletter standard;0
147;57;3;388.79;40;0;0.8;Stable 🟢;Newsletter standard;0
148;6;4;40.44;240;1;53.4;Risque moyen 🟠;Email personnalisé + points fidélité;1
149;28;2;43.04;332;1;82.4;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
150;28;6;15.13;136;1;3.6;Stable 🟢;Newsletter standard;0
151;44;6;9.85;182;0;98.5;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
152;30;2;69.16;265;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
153;62;3;36.24;259;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
154;75;5;6.7;182;1;0.9;Stable 🟢;Newsletter standard;0
155;62;4;174.42;21;1;1.4;Stable 🟢;Newsletter standard;0
156;1;5;17.69;351;1;1.1;Stable 🟢;Newsletter standard;0
157;27;1;110.45;196;1;99.2;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
158;62;6;26.53;212;1;1.0;Stable 🟢;Newsletter standard;0
159;77;2;134.09;16;1;7.9;Stable 🟢;Newsletter standard;0
160;3;5;10.08;202;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
161;70;6;112.87;363;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
162;72;1;8.26;218;0;99.3;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
163;27;4;47.38;93;0;1.4;Stable 🟢;Newsletter standard;0
164;9;5;105.94;133;0;1.4;Stable 🟢;Newsletter standard;0
165;62;6;15.22;139;0;1.2;Stable 🟢;Newsletter standard;0
166;37;4;26.91;157;1;0.1;Stable 🟢;Newsletter standard;0
167;51;2;160.06;335;1;1.1;Stable 🟢;Newsletter standard;0
168;44;8;173.11;70;0;1.3;Stable 🟢;Newsletter standard;0
169;24;6;3.68;304;1;1.0;Stable 🟢;Newsletter standard;0
170;79;3;14.72;15;1;0.1;Stable 🟢;Newsletter standard;0
171;59;5;10.0;235;1;1.0;Stable 🟢;Newsletter standard;0
172;32;4;15.85;212;1;1.0;Stable 🟢;Newsletter standard;0
173;52;1;281.03;290;1;99.6;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
174;62;3;64.18;60;1;2.7;Stable 🟢;Newsletter standard;0
175;58;4;50.51;252;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
176;52;2;333.19;2;0;1.3;Stable 🟢;Newsletter standard;0
177;12;4;65.13;236;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
178;39;4;86.57;336;1;1.1;Stable 🟢;Newsletter standard;0
179;2;5;32.37;19;0;1.4;Stable 🟢;Newsletter standard;0
180;3;3;38.52;49;1;0.1;Stable 🟢;Newsletter standard;0
181;56;2;72.19;78;0;1.2;Stable 🟢;Newsletter standard;0
182;81;4;5.79;28;1;1.4;Stable 🟢;Newsletter standard;0
183;59;4;23.64;48;1;0.1;Stable 🟢;Newsletter standard;0
184;2;2;17.53;96;0;1.2;Stable 🟢;Newsletter standard;0
185;2;6;1.28;165;1;0.2;Stable 🟢;Newsletter standard;0
186;54;5;61.59;176;1;0.1;Stable 🟢;Newsletter standard;0
187;1;4;65.87;73;1;0.1;Stable 🟢;Newsletter standard;0
188;19;4;38.75;356;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
189;2;6;25.04;29;1;0.1;Stable 🟢;Newsletter standard;0
190;53;4;84.46;157;0;1.7;Stable 🟢;Newsletter standard;0
191;44;4;11.57;314;1;47.1;Risque moyen 🟠;Email personnalisé + points fidélité;0
192;32;3;58.49;304;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
193;70;1;116.91;279;1;96.5;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
194;32;5;14.36;283;0;99.6;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
195;68;5;111.95;7;0;37.0;Risque moyen 🟠;Email personnalisé + points fidélité;0
196;55;7;114.43;305;1;81.3;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
197;75;4;4.94;182;1;0.9;Stable 🟢;Newsletter standard;0
198;56;3;1.52;109;1;0.1;Stable 🟢;Newsletter standard;0
199;17;1;291.77;324;0;100.0;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
200;38;5;17.19;206;1;65.0;Risque moyen 🟠;Email personnalisé + points fidélité;1
201;24;8;138.14;234;1;1.0;Stable 🟢;Newsletter standard;0
202;69;3;66.02;187;1;1.0;Stable 🟢;Newsletter standard;0
203;70;0;24.57;329;1;97.9;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
204;11;1;11.14;357;1;97.0;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
205;16;2;54.92;8;1;0.1;Stable 🟢;Newsletter standard;0
206;73;6;41.85;53;0;1.3;Stable 🟢;Newsletter standard;0
207;59;3;96.02;199;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
208;70;5;187.61;137;0;1.2;Stable 🟢;Newsletter standard;0
209;80;3;130.88;259;1;64.0;Risque moyen 🟠;Email personnalisé + points fidélité;0
210;3;3;25.67;334;1;1.1;Stable 🟢;Newsletter standard;0
211;20;5;168.91;172;1;0.1;Stable 🟢;Newsletter standard;0
212;59;2;143.37;86;1;0.1;Stable 🟢;Newsletter standard;0
213;36;4;211.76;46;1;0.1;Stable 🟢;Newsletter standard;0
214;19;3;49.1;346;1;1.1;Stable 🟢;Newsletter standard;0
215;67;8;117.08;186;1;0.9;Stable 🟢;Newsletter standard;0
216;19;3;71.65;156;1;0.1;Stable 🟢;Newsletter standard;0
217;20;7;29.74;9;1;0.1;Stable 🟢;Newsletter standard;0
218;71;2;415.24;115;1;4.1;Stable 🟢;Newsletter standard;0
219;52;8;3.12;154;1;0.1;Stable 🟢;Newsletter standard;0
220;33;8;14.16;130;1;0.1;Stable 🟢;Newsletter standard;0
221;40;4;178.45;331;1;1.1;Stable 🟢;Newsletter standard;0
222;39;5;5.0;81;0;1.7;Stable 🟢;Newsletter standard;0
223;82;3;174.3;290;1;0.9;Stable 🟢;Newsletter standard;0
224;1;6;100.48;147;0;1.3;Stable 🟢;Newsletter standard;0
225;11;4;2.99;295;0;99.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
226;57;2;44.87;269;1;70.2;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
227;50;5;112.35;133;1;0.1;Stable 🟢;Newsletter standard;0
228;23;5;69.99;50;1;0.1;Stable 🟢;Newsletter standard;0
229;31;5;219.75;23;0;1.3;Stable 🟢;Newsletter standard;0
230;42;3;161.78;88;1;0.1;Stable 🟢;Newsletter standard;0
231;7;4;32.35;112;1;0.1;Stable 🟢;Newsletter standard;0
232;16;2;7.07;111;1;0.1;Stable 🟢;Newsletter standard;0
233;60;4;230.96;72;1;0.1;Stable 🟢;Newsletter standard;0
234;2;6;58.27;154;0;1.2;Stable 🟢;Newsletter standard;0
235;1;4;6.18;57;0;8.7;Stable 🟢;Newsletter standard;0
236;48;3;135.68;257;1;1.0;Stable 🟢;Newsletter standard;0
237;12;3;162.3;156;0;1.2;Stable 🟢;Newsletter standard;0
238;69;4;81.6;113;0;1.4;Stable 🟢;Newsletter standard;0
239;37;9;47.47;318;1;0.9;Stable 🟢;Newsletter standard;0
240;32;5;86.82;47;1;0.1;Stable 🟢;Newsletter standard;0
241;9;3;98.12;238;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
242;19;7;178.82;334;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
243;48;7;249.63;106;0;1.3;Stable 🟢;Newsletter standard;0
244;80;6;57.78;187;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
245;3;3;128.16;159;1;0.1;Stable 🟢;Newsletter standard;0
246;20;3;267.08;198;0;99.7;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
247;24;7;13.12;177;1;0.2;Stable 🟢;Newsletter standard;0
248;54;5;1.47;261;1;1.0;Stable 🟢;Newsletter standard;0
249;33;6;162.58;287;1;1.0;Stable 🟢;Newsletter standard;0
250;24;4;17.38;293;1;1.0;Stable 🟢;Newsletter standard;0
251;75;5;3.47;335;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
252;72;1;13.96;143;1;6.3;Stable 🟢;Newsletter standard;0
253;36;0;38.78;308;1;96.0;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
254;38;9;19.8;197;1;1.0;Stable 🟢;Newsletter standard;0
255;25;6;29.14;225;0;99.1;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
256;18;6;296.06;43;0;17.1;Stable 🟢;Newsletter standard;0
257;82;4;97.5;151;0;6.2;Stable 🟢;Newsletter standard;0
258;66;3;99.64;296;1;73.7;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
259;54;6;7.96;63;1;0.1;Stable 🟢;Newsletter standard;0
260;35;2;105.37;130;1;0.9;Stable 🟢;Newsletter standard;0
261;80;2;107.56;255;1;0.9;Stable 🟢;Newsletter standard;0
262;61;9;86.24;343;0;99.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
263;41;5;20.75;214;1;47.7;Risque moyen 🟠;Email personnalisé + points fidélité;0
264;33;4;44.0;73;1;0.1;Stable 🟢;Newsletter standard;0
265;68;3;149.81;104;0;1.3;Stable 🟢;Newsletter standard;0
266;33;8;88.74;158;1;0.1;Stable 🟢;Newsletter standard;0
267;14;2;105.57;272;1;1.0;Stable 🟢;Newsletter standard;0
268;21;5;70.82;315;0;99.0;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
269;48;4;47.77;238;1;1.0;Stable 🟢;Newsletter standard;0
270;20;3;113.85;303;1;1.0;Stable 🟢;Newsletter standard;0
271;8;5;5.63;158;0;21.1;Stable 🟢;Newsletter standard;0
272;7;2;89.46;109;1;0.1;Stable 🟢;Newsletter standard;0
273;67;2;470.38;9;0;0.7;Stable 🟢;Newsletter standard;0
274;17;3;121.2;321;1;1.1;Stable 🟢;Newsletter standard;0
275;33;8;27.46;59;0;1.4;Stable 🟢;Newsletter standard;0
276;48;2;26.04;358;0;99.5;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
277;76;5;88.02;192;1;1.0;Stable 🟢;Newsletter standard;0
278;59;3;180.96;136;0;1.2;Stable 🟢;Newsletter standard;0
279;22;4;69.01;251;0;98.9;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
280;30;4;59.96;146;0;1.3;Stable 🟢;Newsletter standard;0
281;38;5;13.98;347;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
282;51;1;100.55;352;0;99.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
283;54;2;96.93;58;1;0.1;Stable 🟢;Newsletter standard;0
284;8;2;272.78;177;1;0.1;Stable 🟢;Newsletter standard;0
285;27;1;28.56;288;1;97.4;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
286;27;3;112.99;245;1;1.0;Stable 🟢;Newsletter standard;0
287;21;6;45.54;48;1;0.1;Stable 🟢;Newsletter standard;0
288;30;2;65.4;301;0;99.0;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
289;28;5;135.62;356;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
290;64;6;20.08;100;1;0.1;Stable 🟢;Newsletter standard;0
291;69;5;33.59;213;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
292;61;7;118.73;302;1;1.0;Stable 🟢;Newsletter standard;0
293;48;6;67.6;165;1;0.1;Stable 🟢;Newsletter standard;0
294;19;1;7.76;126;1;74.4;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
295;4;4;45.0;302;1;1.0;Stable 🟢;Newsletter standard;0
296;35;4;70.67;121;1;0.1;Stable 🟢;Newsletter standard;0
297;64;2;192.21;88;1;0.1;Stable 🟢;Newsletter standard;0
298;49;5;16.71;217;1;74.5;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
299;17;7;131.17;61;0;1.3;Stable 🟢;Newsletter standard;0
300;44;5;11.2;302;1;1.0;Stable 🟢;Newsletter standard;0
301;30;3;22.19;179;1;0.1;Stable 🟢;Newsletter standard;0
302;46;3;22.31;190;1;1.0;Stable 🟢;Newsletter standard;0
303;6;5;167.96;163;1;0.1;Stable 🟢;Newsletter standard;0
304;37;4;17.75;81;0;1.4;Stable 🟢;Newsletter standard;0
305;24;4;123.7;170;1;0.1;Stable 🟢;Newsletter standard;0
306;46;5;49.56;301;1;1.0;Stable 🟢;Newsletter standard;0
307;53;0;560.23;196;1;96.1;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
308;60;2;146.15;203;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
309;63;3;107.67;47;1;2.3;Stable 🟢;Newsletter standard;0
310;32;3;163.67;158;1;5.4;Stable 🟢;Newsletter standard;0
311;33;7;80.42;194;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
312;67;5;148.45;279;1;1.0;Stable 🟢;Newsletter standard;0
313;18;6;24.21;317;1;0.9;Stable 🟢;Newsletter standard;0
314;25;5;8.22;269;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
315;54;4;76.55;199;1;80.4;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
316;58;1;45.63;224;1;96.2;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
317;67;3;44.47;263;1;1.0;Stable 🟢;Newsletter standard;0
318;46;4;59.85;166;0;1.7;Stable 🟢;Newsletter standard;0
319;24;5;35.88;180;0;1.7;Stable 🟢;Newsletter standard;0
320;32;5;78.69;192;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
321;47;6;2.48;216;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
322;23;7;280.24;284;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
323;66;5;206.91;352;1;1.1;Stable 🟢;Newsletter standard;0
324;27;3;219.0;107;0;1.3;Stable 🟢;Newsletter standard;0
325;2;3;36.33;98;0;1.4;Stable 🟢;Newsletter standard;0
326;17;4;60.72;230;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
327;33;6;246.56;257;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
328;9;5;186.11;43;1;0.1;Stable 🟢;Newsletter standard;0
329;43;7;124.95;242;1;1.0;Stable 🟢;Newsletter standard;0
330;48;3;41.85;42;0;1.3;Stable 🟢;Newsletter standard;0
331;39;6;66.47;95;0;1.4;Stable 🟢;Newsletter standard;0
332;42;1;125.97;254;1;97.5;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
333;26;4;25.51;188;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
334;50;6;78.78;307;1;77.0;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
335;25;5;140.79;167;1;0.1;Stable 🟢;Newsletter standard;0
336;24;3;98.33;271;0;98.8;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
337;13;2;52.23;125;1;0.1;Stable 🟢;Newsletter standard;0
338;60;5;70.28;161;1;0.1;Stable 🟢;Newsletter standard;0
339;7;6;358.46;87;0;0.8;Stable 🟢;Newsletter standard;0
340;57;2;73.7;309;0;98.7;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
341;36;7;123.2;226;1;1.0;Stable 🟢;Newsletter standard;0
342;45;10;103.75;145;1;0.1;Stable 🟢;Newsletter standard;0
343;20;8;96.72;345;0;99.5;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
344;65;5;100.81;248;1;60.7;Risque moyen 🟠;Email personnalisé + points fidélité;1
345;8;0;48.47;362;0;99.9;Risque élevé 🔴;Appel CRM + offre de rétention -20%;1
346;16;2;51.42;6;1;0.1;Stable 🟢;Newsletter standard;0
